phonemes,graphemes
aketēam,acetiam
ōvərdü,overdo
nēəzōik,neozoic
älətōrē,olitory
kril,krill
ləvaŋgə,lavanga
mētēər,meteor
yünifaktōrēəl,unifactorial
kwitər,quittor
kȯst,cost
məräksīt,moroxite
kerəl,carroll
prēətämik,preatomic
diplēt,deplete
brünet,brunette
prēməverə,primavera
nōmənklātiv,nomenclative
kōpelədēn,copellidine
mälgyələ,molgula
lärəm,larum
ənāmēəbəl,unamiable
kantthərəs,cantharis
fīnīt,finite
kōäptäshən,cooptation
sekshəwālē,sexuale
gränhānō,granjeno
əndēvēātiŋ,undeviating
yüfȯrik,euphoric
granyəlōsəs,granulosis
nītkləb,nightclub
latəralətē,laterality
plenəpətentshərē,plenipotentiary
dau̇nfēld,downfield
sləmē,slummy
lärvikīt,larvikite
məltaŋgyələm,multangulum
däkmastər,dockmaster
ikspektətiv,expectative
glüvīn,glühwein
dīəlektrik,dielectric
hetərädərə,heterodera
ərwinēə,erwinia
bōinēə,bauhinia
au̇tfās,outface
əperənt,apparent
lepərəfȯrm,leporiform
pōmifərəs,pomiferous
imōshən,emotion
denz,dens
ägnu̇s,agnus
fizēəgnämik,physiognomic
rēvizətāshən,revisitation
nāv,nave
vərāshəs,veracious
shärn,sharn
arəb,arab
kapē,kappie
sīfänyələ,siphonula
inwīnd,enwind
indəkt,induct
krisəl,crissal
apərsü,aperçu
nänsīənts,nonscience
tambu̇r,tambour
merənāt,marinate
stepiŋstōn,steppingstone
ratan,rattan
inwüm,enwomb
dāvēzhēə,daviesia
təmtəm,tumtum
päschəlātəm,postulatum
kȯit,quoit
sōävāmentā,soavemente
finish,finish
kənventə̇kəl,conventical
stədhȯrs,studhorse
hīərəgram,hierogram
skərmish,skirmish
sīənätrəkīt,cyanotrichite
memwär,memoir
alpənizəm,alpinism
sōfēə,sofia
simantik,semantic
bȯrdō,bordeaux
ōästəjīt,oostegite
landlȯrd,landlord
ənsälvəbəl,unsolvable
gənᵊl,gunwale
pərsentəm,percentum
rēkərvd,recurved
tēdēəm,tedium
pathəmatik,pathematic
səvir,severe
rȯistər,roister
kōlədäkəl,choledochal
skerik,skerrick
fȯlt,fault
braŋkēästəjīt,branchiostegite
dau̇nfȯl,downfall
mərmēlēən,myrmeleon
dərekshnəl,directional
bātōvən,beethoven
rivīvəl,revival
klənch,clunch
fu̇tstül,footstool
inklüzhən,inclusion
briŋk,brink
mātrənīz,matronize
rēnāchər,renature
läpüläpü,lapulapu
ləfīəmis,lophiomys
təpōtmənt,tapotement
nu̇kē,nooky
stēlbō,steelbow
fīərbak,fireback
tredəwō,triduo
əklām,acclaim
sȯbwə,sawbwa
erəlīt,aerolite
krēshən,cretion
vərmənəs,verminous
əpish,uppish
məstər,muster
mīkrədät,microdot
metsō,mezzo
sīmätrə̇kəs,cymotrichous
pithē,pithy
bəräḵä,berakah
kənvāərīz,conveyorize
pālēəgrafik,paleographic
sīkäləjē,psychology
kansō,canso
kaptə̇nrē,captainry
ärbətrāshən,arbitration
limət,limit
əlmik,ulmic
dab,dab
hyüj,huge
demimändān,demimondaine
brādikīnən,bradykinin
jərkən,jerkin
bərp,burp
plānsȯŋ,plainsong
prēsenchən,presension
münj,munj
ilekchəwerē,electuary
mänepik,monepic
dəvidēən,davidian
nōsᵊnt,nocent
taksēwā,taxiway
kiŋkəp,kingcup
bin,bin
märkət,market
asənīn,asinine
yü,u
späŋgōblast,spongoblast
äbnäksīətē,obnoxiety
sēbə̇d,cebid
spāk,spake
trist,tryst
kīnās,kinase
krōmatəgram,chromatogram
nänledəd,nonleaded
mōldbȯrd,moldboard
katəsärkə,catasarka
jüdishəs,judicious
əkredət,accredit
käntrədikt,contradict
sərpləs,surplus
yünəterē,unitary
atrəmənt,atrament
bränkägrəfē,bronchography
impərseptəbəl,imperceptible
itərbik,ytterbic
impinj,impinge
berē,berry
äkünd,akund
thəmprint,thumbprint
vəsikyəlāt,vesiculate
au̇tmach,outmatch
latəsȯl,latosol
siŋkrənizəm,synchronism
en,n
hizləpīt,hislopite
swichbȯrd,switchboard
tōlbüth,tollbooth
ästēəsīt,osteocyte
bəlüt,ballute
zīməgram,zymogram
səbtərfyüj,subterfuge
əsijəlātəd,acidulated
ärchfō,archfoe
methilədīn,methylidyne
emərīz,emerize
əryäd,oeillade
ȯtäpsē,autopsy
mädē,mahdi
ikthēizəm,ichthyism
rivərbaŋk,riverbank
sivəlīzd,civilized
vasalik,vassalic
drēmwərld,dreamworld
ritān,retain
dīverəkāt,divaricate
thrōn,throne
kau̇ntərīən,counterion
bidȯb,bedaub
menənjēəl,intermeningeal
serəmōnēəl,ceremonial
gōlmau̇th,goalmouth
biblēəfīəl,bibliophile
tanjərēn,tangerine
misəz,missus
ikstrēm,extreme
perəleləgram,parallelogram
gädsən,godson
pelyəsidətē,pellucidity
mərchənt,merchant
filmik,filmic
sabəthlə̇s,sabbathless
infektivətē,infectivity
slandər,slander
deləwer,delaware
rēlastər,relaster
bōlō,bolo
frəntenə̇s,frontenis
fȯrfiŋgər,forefinger
brīnē,briny
disklām,disclaim
wu̇lf,woolf
mōtərbōt,motorboat
ōkləhōmə,oklahoma
embələs,embolus
rət,rut
äktəwāt,octoate
mətempsə̇kōs,metempsychose
rōbōt,rowboat
dau̇ərē,dowry
ə̇nakshən,enaction
ōvərplā,overplay
əpgrād,upgrade
krō,crow
tälərē,talari
əkəlchərāshən,acculturation
aŋgəl,angle
pignət,pignut
məlīnd,maligned
ənjəstəfīəbəl,unjustifiable
vəlkənīz,vulcanize
kōmätē,komati
kandədəchu̇r,candidature
mə̇näləjē,menology
imijləs,imageless
trākēəm,batrachium
prüdish,prudish
drȯtüb,drawtube
kärpalē,carpale
gōmänchēə,gomontia
elkslip,elkslip
fȯrhu̇f,forehoof
glādēəs,gladius
kōən,cohen
rübrik,rubric
kwȯrtsīt,quartzite
tit,teat
kərəlpāpər,curlpaper
kantənēz,cantonese
səbsachərātəd,subsaturated
mislīk,mislike
əmigdələn,amygdalin
erəkad,ericad
prāt,prate
zenäkrətēən,xenocratean
chaptrəl,chaptrel
hibrāik,hebraic
drizəl,drizzle
dēpəlitəsīz,depoliticize
tetrəsēm,tetraseme
ritānər,retainer
thēäləjər,theologer
shēpshiriŋ,sheepshearing
mizᵊn,mizzen
skragē,scraggy
mēdēäkrətē,mediocrity
jenərāshən,generation
ōvərgrō,overgrow
älfaktē,olfacty
rabənīt,rabbinite
yäk,yock
insted,instead
pwelchē,puelche
zə̇nägəmē,xenogamy
häri,horry
ənsatəsfīd,unsatisfied
käjətāt,cogitate
kiməl,kümmel
mädəst,modest
rübelīt,rubellite
fəlāsēē,phallaceae
stelth,stealth
entthimēm,enthymeme
sār,sare
klavəkȯər,clavicor
rivəlshən,revulsion
pekyəlāt,peculate
və̇larik,velaric
kärtüsh,cartouche
wēdē,weedy
tȯrsəlō,torsalo
näbəl,knobble
glanjəlifərəs,glanduliferous
līənīz,lionize
maktāshən,mactation
rēdedikāt,rededicate
trantskript,transcript
päləpəs,polypus
dīəmetrik,diametric
prēəsīn,preassign
līlāshəs,lilaceous
thēəretikəl,theoretical
verēəgāt,variegate
fōrklōzəbəl,foreclosable
klaŋgyələ,clangula
bät,baht
rēsərfəs,resurface
fləbdəb,flubdub
zhəbütikäbə,jaboticaba
ōlīvə,oliva
blədthərstē,bloodthirsty
yäkə,yaka
trīmȯrfik,trimorphic
ilektrōthərməl,electrothermal
zīləstrōmə,xylostroma
hyümāt,humate
dīəmənd,diamond
kīvəlyə,kaivalya
dir,deer
shēəl,sheal
ekwȯid,equoid
ȯrgənōfäsfərəs,organophosphorus
dərməkäyə,dharmakaya
jək,juck
fechiŋ,fetching
eksərsīz,exercise
kyübə,cuba
femik,femic
ōvərflō,overflow
ənȯrthədäks,unorthodox
afyüz,affuse
slüt,sluit
parə̇gnath,paragnath
kantthəreləs,cantharellus
pīrōmānēə,pyromania
kəndents,condense
pu̇d,pud
pälē,pali
diskȯrs,discourse
fȯrməsīd,formicide
ənsərprīzd,unsurprised
ənshēth,unsheathe
grägrəm,grogram
ə̇ngrāl,engrail
lādᵊl,ladle
ekstrə,extra
sābīn,sabine
akwəmənīlē,aquamanile
tünsmith,tunesmith
āpēōl,apiole
bīplā,byplay
əkrōmēōkləvikyələr,acromioclavicular
präksənəs,proxenus
enthalpē,enthalpy
plentē,plenty
rimembər,remember
hēmətinik,hematinic
rēyäl,riyal
bətərmilk,buttermilk
nänikspendəbəl,nonexpendable
paktȯŋ,paktong
ligyümən,legumin
perəstōm,peristome
kerəb,carib
piŋkō,pinko
melənjēnə,melongena
manlē,manly
intərkəmpnē,intercompany
sərēbrəm,hemicerebrum
fishgig,fishgig
pīakyələm,piaculum
eksənīt,exinite
väməchərishən,vomiturition
u̇rər,ensurer
əbrāsiv,abrasive
ärkensefələ,archencephala
zīgəfiləm,zygophyllum
ḵādər,heder
kōldblədəd,coldblooded
präf,prof
ənshȯrn,unshorn
kalēän,calean
əniskāpəbəl,unescapable
glüm,gloom
perən,perron
dəbəlgaŋər,doubleganger
nətriks,janitrix
rəgbē,rugby
skəlch,sculch
dekstrəvərzhən,dextroversion
irekshən,erection
fərtilətē,fertility
nändiskərsiv,nondiscursive
iksklüd,exclude
dimān,demesne
dȯrəs,doris
imiŋgəl,immingle
igzemplərē,exemplary
dijenrət,degenerate
iksīt,excite
eksərbənīt,exurbanite
ōlēən,olein
wench,wench
känchərtēnō,concertino
rēfinish,refinish
pinspätər,pinspotter
afərīz,aphorize
sītlē,sightly
dəlsəmər,dulcimer
shətər,shutter
shipmən,shipman
gōnēəstat,goniostat
pantər,panter
kau̇ntərkü,countercoup
thäḵt,thocht
medikəbəl,medicable
skəberələs,scaberulous
sēkäs,sekos
känsōl,console
nȯrmanik,normannic
infantē,infante
ōȯid,ooid
prēfekt,prefect
gȯn,gaun
īsəlāshənizəm,isolationism
yōhimbā,yohimbe
piŋktādə,pinctada
liŋgwətülədə,linguatulida
nəkəl,knuckle
tȯrment,torment
kändrōsärkōmə,chondrosarcoma
akwələ,aquila
əndü,undo
katə̇gərem,categorem
intabləchu̇r,entablature
pōstprandēəl,postprandial
kristəfər,christopher
kīəl,chyle
shənə̇st,obsessionist
nasə,nasa
sōrdər,sworder
rōpə̇t,roupet
āsəlābēə,asyllabia
plazməjēn,plasmagene
mərkəntēlizəm,mercantilism
gərjətāshən,gurgitation
hȯrē,horae
mətirēel,matériel
handikapt,handicapped
kȯrps,corpse
kəmpātrēət,compatriot
katələst,catalyst
shȯrtlē,shortly
shatᵊlanē,chatellany
ditrakt,detract
infranchīz,enfranchise
striŋpēs,stringpiece
fyüjətiv,fugitive
bəmbəlbē,bumblebee
bōnsetər,bonesetter
kȯrəstər,chorister
sōshəlīz,socialize
klipər,clipper
bȯlzē,ballsy
kəmōd,commode
perēästēəl,periosteal
ferīt,ferrite
fäsfōənȯlpīrüvāt,phosphoenolpyruvate
sēkwənd,sequined
printləs,printless
rēkast,recast
albəsāə,albacea
vōtərəs,votaress
ärself,ourself
antēazmə,antiasthma
yīp,yipe
inkäntstənt,inconstant
lȯft,loft
dējərm,degerm
krōmōtherəpē,chromotherapy
bāgəm,begum
jȯifəl,joyful
sältätō,saltato
hachəl,hatchel
lōərlə̇s,loreless
anjəlim,angelim
ōpən,open
sirōtherəpē,serotherapy
refō,reffo
əplōzhən,applosion
kavəl,cavil
rəmā,ramée
ärsifərə,arcifera
irizälvəbəl,irresolvable
jəgə̇nz,juggins
antidāt,antedate
bīathlən,biathlon
chau̇,chow
bərgau̇,burgao
fəŋk,funk
plevər,buplever
wät,watt
hyümənkīnd,humankind
slipmən,slipman
pämpäŋgən,pampangan
bīsekshəwəl,bisexual
grāzh,greige
erətäpəthē,erotopathy
kadməs,cadmus
jədər,judder
spīrədēlə,spirodela
jēäləjē,geology
splinetik,splenetic
iripresəbəl,irrepressible
fīləjenik,phylogenic
taŋē,tangy
bətərflī,butterfly
her,hare
shəmäd,chamade
irizälyəbəl,irresoluble
grafəmetrik,graphometric
plastämətər,plastometer
kənvāər,conveyor
yämən,yamen
kēpənch,keypunch
dəsbädēd,disbodied
jüfish,jewfish
rästər,roster
sōshələzāshən,socialization
fyüzəl,fusil
thərmīänik,thermionic
häsᵊndädō,hacendado
dībāsik,dibasic
bləb,blub
zələrnēə,zollernia
dēkämpau̇nd,decompound
eskyəlāsēē,aesculaceae
bu̇ntäl,buntal
lōrē,lori
invenəmāshən,envenomation
terəbēlətä,terribilita
medəlerē,medullary
tektəsfiər,tectosphere
vȯiəzhər,voyageur
nēōplātənizəm,neoplatonism
gärvē,garvey
mastikətȯrē,masticatory
dü,dew
galvənämətər,galvanometer
pyünətiv,punitive
ləvər,lover
pātrənīz,patronize
tiksēd,tickseed
risind,rescind
jäg,jog
spirətləs,spiritless
almüd,almud
anjēōtentsən,angiotensin
manijərəs,manageress
arəlāt,arylate
vərnəkōs,vernicose
au̇tflō,outflow
ärchdīəsəs,archdiocese
dril,drill
invərt,invert
indəktē,inductee
sitrənelal,citronellal
lōbə̇ped,lobiped
wesəl,wessel
narātəbəl,narratable
bīōkōər,biochore
bēfwu̇d,beefwood
wərkwēk,workweek
mȯrnfəl,mournful
rēistablish,reestablish
nətē,nutty
eksīd,excide
ȯrifərəs,auriferous
ləvət,lovat
smȯlsȯrd,smallsword
shärdə̇d,sharded
kwäshēȯrkər,kwashiorkor
trīethənäləmēn,triethanolamine
detᵊnāshən,detonation
hīdətōmȯrfik,hydatomorphic
pändərəbilətē,ponderability
kēlȯid,keloid
mäŋgə,manga
səmüm,simoom
närgəlē,narghile
klā,clay
ōvəraktiv,overactive
hau̇skärəl,housecarl
kənsərvətiv,conservative
kwinᵊlēn,oxyquinoline
lȯndəret,launderette
ədrēnōkȯrtikōtrōpən,adrenocorticotropin
spendər,spender
frütəsētəm,fruticetum
bäsəleu̇s,basileus
anəmōdänt,anomodont
shagē,shaggy
sȯlt,salt
su̇ŋlō,sunglo
klīm,climb
kəmbəl,kambal
bərsələ,bursula
velvətē,velvety
ōvərdōs,overdose
sōtwär,sautoir
təf,tough
hwamē,whammy
skyüzᵊn,scusin
intsōlāt,insolate
idēətizəm,idiotism
flȯrəjən,florigen
kētēn,ketene
kəmōdēəs,commodious
kəlegēəm,collegium
frinjilə,fringilla
mänəklōnᵊl,monoclonal
məltēkȯr,multicore
skejül,schedule
aktinēən,actinian
rētrantsfər,retransfer
gādȯid,gadoid
ȯgəst,august
hōmäjənē,homogeny
klinik,clinic
estäk,estoc
kəmitēmən,committeeman
ākōn,acone
mə̇tastəmə,metastoma
letərfȯrm,letterform
taŋk,tank
bedwā,bedway
hümevər,whomever
iknälijmənt,acknowledgment
rōblə̇s,robeless
trik,trick
ədəltərər,adulterer
ləviŋ,loving
henə̇n,hennin
snəzəl,snuzzle
rālərē,raillery
mēātᵊl,meatal
viktəmīz,victimize
gərl,gurl
trəbəlshütər,troubleshooter
kərlēkyü,curlicue
swänskin,swanskin
pərimətər,perimeter
antēmilətərizəm,antimilitarism
hau̇,how
diskwīət,disquiet
sheris,sherris
nänyu̇nēk,nonunique
rēmerē,remarry
hiraftər,hereafter
sibiŋ,sibbing
səbtekst,subtext
kərōsō,corozo
erdräp,airdrop
renwär,renoir
dəndərfəŋk,dunderfunk
pərpȯrtədlē,purportedly
kētōsterȯid,ketosteroid
skāpgōt,scapegoat
simpər,simper
yakəmik,yakamik
pərseptiv,perceptive
nztərə̇s,spinstress
ənmyüzikəl,unmusical
düō,duo
stentsəl,stencil
tempərālē,temporale
pəlagənīt,palagonite
rēinäkyəlāt,reinoculate
lēfhäpər,leafhopper
rēəmbrȯidər,reembroider
aŋgyəlāshən,angulation
kənkərəntsē,concurrency
dyüədēnästəmē,gastroduodenostomy
glütᵊlən,glutelin
tȯtəläjikəl,tautological
sərvōmōtər,servomotor
skwāmōsə,squamosa
ärsenəsizəm,arsenicism
lēstər,leister
dəŋ,dung
hävel,havel
dēlō,dilo
pachwərk,patchwork
pentəhēdrən,pentahedron
məkau̇,macao
hīpäksə̇s,hypoxis
baləntidēəm,balantidium
intentsiv,intensive
känchə,cancha
ȯrgazəm,orgasm
nänreprizentāshnəl,nonrepresentational
pathəjən,pathogen
restiv,restive
ȯrgənäfəlē,organophyly
hōləkrən,holocrine
finikəl,finical
prəpōz,propose
barə̇sentər,barycenter
inthüzēazəm,enthusiasm
fəlipik,philippic
imantsəpāt,emancipate
prinseps,princeps
palpətāt,palpitate
fleshē,fleshy
prizəmpchəwəs,presumptuous
dentᵊlīz,dentalize
bräŋkəskōp,bronchoscope
səplēənt,suppliant
intərmetsō,intermezzo
maŋgənēz,manganese
lädikyül,lodicule
anəbīōsəs,anabiosis
sedᵊntaarēə,sedentaria
thrämbəs,thrombus
mis,miss
riksdälər,rixdaler
stərkərənizəm,stercoranism
inlās,enlace
prīzfītiŋ,prizefighting
sevəntth,seventh
brīən,brian
prästrāshən,prostration
sisərō,cicero
kȯlbȯi,callboy
stətē,vastity
ənsivəl,uncivil
ənsheld,unshelled
kəlektiv,collective
piŋgwesᵊnt,pinguescent
abəlishᵊn,abolition
hīətägrəfē,hyetography
alyətāshəs,alutaceous
teknōstrəkchər,technostructure
divōtəd,devoted
ramp,ramp
stafəlīnəs,staphylinus
bu̇kstȯl,bookstall
lemiŋ,lemming
kalkrēt,calcrete
thərlēnə̇s,northerliness
pīpərlē,piperly
grandam,grandam
kəsävə,cassava
əpthrō,upthrow
vilə,villa
lāäkəwän,laocoön
milkər,milker
əpisthəgraf,opisthograph
bakhō,backhoe
məkō,moco
keriktərəzāshən,characterization
səbstəntīvəl,substantival
iŋglishmən,englishman
əflātəd,afflated
ärjəl,argil
insōl,ensoul
bräŋkōdīlātər,bronchodilator
kərvətē,curvity
kəlabərātər,collaborator
kōp,cope
pälēskōp,polyscope
fibrikyələ,febricula
rēkäpē,recopy
rēpeg,repeg
āməs,amis
məligən,mulligan
dinämənətiv,denominative
krap,crap
bach,bach
ȯreksəs,orexis
pikpäkət,pickpocket
fyüzān,fusain
ōvərilabərət,overelaborate
mətirēələzāshən,materialization
kärbōdīəmīd,carbodiimide
inchər,incher
mau̇ntənəs,mountainous
bentsəl,bensel
səpänəfəkāshən,saponification
brənēəs,brunneous
rilaks,relax
bərnē,burnie
bu̇lbat,bullbat
təmbäk,tumbak
intstətüt,institute
kəbükē,kabuki
nȯiz,noise
finämənəlizəm,phenomenalism
ənmask,unmask
ethnikəl,ethnical
dəmestik,domestic
kīmətēyō,caimitillo
fedərət,federate
dek,deck
skərj,scourge
sēbȯiyīt,cebollite
karəmätə,carromata
skrim,scrim
aflüənt,affluent
kənstrəkt,construct
sentsər,censer
silēātəd,ciliated
akrōsentrik,acrocentric
fə̇brilətē,febrility
hēmōflajələt,hemoflagellate
swäp,swap
hīdräksəzēn,hydroxyzine
wīəld,wild
skersmənt,scarcement
nänədekān,nonadecane
lärvipərəs,larviparous
westiŋhau̇s,westinghouse
hepətōpȯrtᵊl,hepatoportal
intīərlē,entirely
säfist,sophist
weft,weft
chimshēən,tsimshian
prēdäktərəl,predoctoral
fōtōkämpəzishən,photocomposition
mel,mell
dəŋhil,dunghill
ekināsēə,echinacea
nəthärktə̇d,notharctid
pərmitivətē,permittivity
sekō,secco
kōlōkāt,colocate
erwərd,airward
blüish,bluish
mēandər,meander
krüəltē,cruelty
əthərhwīəl,otherwhile
fōsə̇d,phocid
əkəstəmd,accustomed
iksplōd,explode
chizᵊl,chisel
skäfənē,scophony
gärb,garb
ləvōltə,lavolta
palənäləjē,palynology
ənlüs,unloose
əselədē,asellidae
stük,stook
märshəl,marshall
tȯkətiv,talkative
jerəndīvəlsometimesjə̇rəndə̇vəlorrəndēv,gerundival
epijēəl,epigeal
mərməkäfəlizəm,myrmecophilism
ōlēō,olio
ȯrəlē,orally
seld,seld
sərīəsəs,psoriasis
həmpbak,humpback
diskəmpfərt,discomfort
biblēəfilm,bibliofilm
kəmpīlər,compiler
əntīriŋ,untiring
akənītᵊl,aconital
rēkäntstətüt,reconstitute
ȯtəmōbēl,automobile
bidevəl,bedevil
büshā,boucher
fētlē,featly
hēmik,hemic
kyübik,cubic
käntstətütiv,constitutive
embrēōmə,embryoma
endəsītōsəs,endocytosis
predəsesər,predecessor
tälu̇k,taluk
nänbītiŋ,nonbiting
pälēvīnᵊl,polyvinyl
ikstrapəlāt,extrapolate
semēdrīiŋ,semidrying
menəs,menace
tärnish,tarnish
əstragəlektəmē,astragalectomy
äsətənsē,oscitancy
säkət,socket
fyümətōrēəm,fumatorium
rilāshən,relation
əbstetrik,obstetric
kämȯrēstə,camorrista
dēlōkəlīz,delocalize
chernə,cherna
əglēnəs,ugliness
wȯn,won
gəf,guff
ənsītlē,unsightly
fȯrȯrdān,foreordain
flaməbəl,flammable
mȯsbak,mossback
rānīn,ranine
sēbȯrd,seaboard
līsə̇d,lycid
ferəl,ferrule
tälyōtē,tallote
akrənim,acronym
klāəkwät,clayoquot
bəŋhōl,bunghole
tōtalətē,totality
ōdäntaspidədē,odontaspididae
eksəbishnər,exhibitioner
kau̇ntēən,countian
piŋkī,pinkeye
bedtik,bedtick
sävərən,sovereign
impirəsizəm,empiricism
metəzīləm,metaxylem
eksəkrāt,execrate
kənjəŋkshən,conjunction
mōhamədən,mohammedan
tīgərkə̇n,tigerkin
kāpē,kepi
pəlütiŋ,polluting
kantsəlāshən,cancellation
kənsentsəs,consensus
wərlē,wurley
ferōsilikən,ferrosilicon
pälēkät,polycot
melifləwəs,mellifluous
lȯŋ,long
rēkənsälədāt,reconsolidate
īsəlātəd,isolated
thərasik,thoracic
kaləverīt,calaverite
əntempərd,untempered
ənhand,unhand
ləvman,loveman
tenərīt,tenorite
flimflam,flimflam
tempē,tempe
pärdän,pardhan
divənə̇zāshən,divinization
kəläshənz,colossians
täg,tog
arənt,arrant
əndərinshu̇rd,underinsured
thərəbās,thoroughbass
īsətə̇s,isatis
tōl,toll
glenȯid,glenoid
sefəläpədə,cephalopoda
tendərīz,tenderize
glisəraldəhīd,glyceraldehyde
nyu̇rēn,neurine
hastāt,hastate
laarēāsēē,globulariaceae
əwirē,aweary
nāäləjē,naology
hakmən,hackman
əndərgō,undergo
pälēmȯrfəs,polymorphous
klīstäjənəs,cleistogenous
gau̇dē,goudy
pləgd,plugged
prōpān,propane
apəstatik,apostatic
üfi,oofy
kärbənil,carbinyl
intərspisifik,interspecific
məmər,mummer
plethərē,plethory
nərchər,nurture
sirōsangwinēəs,serosanguineous
wēnər,wiener
kaⁿzyem,quinzième
adsȯrb,adsorb
rīngrāv,rhinegrave
rijekt,reject
bäzwelēə,boswellia
sisətᵊn,sisseton
ku̇dəst,couldest
mimēō,mimeo
jȯs,jos
trījet,trijet
əfishəs,officious
ākȯrn,acorn
ingəlf,engulf
testē,testee
səthərnizəm,southernism
rütstäk,rootstock
hōkē,hokey
eləjəbəl,eligible
thēədōər,theodore
kərēəfȯrm,choreiform
wēkendz,weekends
amərist,amorist
glēə,gloea
imēdēətnəs,immediateness
mirzə,mirza
pālēōzōäləjē,paleozoology
thərifərəs,thoriferous
büzükē,bouzouki
kəlinēarə̇tē,multicollinearity
rēhīər,rehire
gə̇lär,gillar
planjē,plangi
rəmb,rhumb
herətəbilətē,heritability
bīnyüklēəlāt,binucleolate
kriptəfīt,cryptophyte
diskrepənt,discrepant
immyütəbəl,immutable
taphōl,taphole
häŋkētäŋk,honkytonk
dərmäptərə,dermoptera
sənwərd,sunward
dislōkāt,dislocate
spīrəntizəm,spirantism
efəsəs,ephesus
kōədaptəd,coadapted
wähü,wahoo
pampər,pampre
pərlesᵊnt,pearlescent
fariŋgätəmē,pharyngotomy
splā,splay
əneməgram,anemogram
pänjē,pongee
pünän,punan
tendrəlifərəs,tendriliferous
manganik,manganic
shivər,shiver
härtbərn,heartburn
gladsəm,gladsome
jənetiks,genetics
kaləmint,calamint
rivyələt,rivulet
səthərnmōst,southernmost
pəlsāshən,pulsation
kindərgärtnər,kindergartner
terədinədē,teredinidae
embrēōjenəsəs,embryogenesis
fȯrtəfəkāshən,fortification
pəsē,pursy
mənchēz,munchies
fələsīt,omphalosite
təkshäp,tuckshop
fərməntesəbəl,fermentescible
ōrēōfāsīn,oreophasine
pīrōp,pyrope
bädkən,bodkin
antēhȯrmōn,antihormone
lasərəbilətē,lacerability
sōlō,solo
hīdrȯid,hydroid
bōldər,boulder
palpəjər,palpiger
kȯrtikȯid,corticoid
wīsbakīt,weisbachite
mīnd,mind
dēänə,dhyana
kəlȯrik,caloric
megəthərm,megatherm
fōtōjərnəlizəm,photojournalism
səbsərvēənt,subservient
främwərd,fromward
intents,intense
tif,tiff
ənȯint,anoint
tetraksōnēə,tetraxonia
mīkrəspȯr,microspore
pärtīl,partile
īridēəl,iridial
dəlīədē,doliidae
ȯrəzivərəs,oryzivorous
miləgram,milligram
blakbȯl,blackball
bägəl,boggle
nüklīd,nuclide
snōsüt,snowsuit
härtᵊn,hearten
kəririzəm,careerism
fȯsət,faucet
särbəkān,sarbacane
ənbäks,unbox
tabərnakəl,tabernacle
gash,gash
əpərpärt,upperpart
kənsümər,consumer
hīdräksəl,hydroxyl
skrāb,scrabe
ōpə,opah
mau̇ntᵊntäp,mountaintop
steḵ,stech
endōspȯr,endospore
hīpätrə̇kə,hypotricha
əpres,oppress
hanəvirēən,hanoverian
erəkāshəs,ericaceous
benchmən,benchman
prēsthu̇d,priesthood
blədshät,bloodshot
mīkrəspərōsəs,microsporosis
bīpōlər,bipolar
snau̇tlə̇s,snoutless
rāshōfā,réchauffé
prēmänish,premonish
lȯgəgraf,logograph
tōnᵊlīt,tonalite
präg,prog
kapələn,capelin
gwelf,guelph
apəzishən,apposition
prəjektər,projector
kemizəm,chemism
aləmō,alamo
rīnäsərīn,rhinocerine
finämənän,phenomenon
bäsəlātəd,bosselated
antirēər,anterior
nātalətē,natality
ämbu̇dzmən,ombudsman
gänfənän,gonfanon
kapətəlīz,capitalize
pərfyümər,perfumer
wintün,wintun
əprīz,uprise
vijələnts,vigilance
əndər,under
misdēd,misdeed
ōvərkänfədənts,overconfidence
wu̇dkraft,woodcraft
tōpaz,topaz
fənē,funny
mōlə,mola
indäktrənāt,indoctrinate
zōaarēəl,zoarial
stātlə̇lē,statelily
erwābil,airwaybill
mītərwərt,mitrewort
dau̇nhȯl,downhaul
epəstīlər,epistylar
pərpyu̇rēəl,purpureal
hīpərtrəfē,hypertrophy
tüfə,tufa
nash,gnash
ziŋkīt,zincite
bərəl,burel
chipmək,chipmuck
gəbə̇nz,gubbins
əsidēȯidə,ascidioida
bər,bur
trīləbītə,trilobita
tȯrtēyā,tortillé
inkägnəzənt,incognizant
krə̇dendə,credenda
anəläjikəl,analogical
rēdilivər,redeliver
yu̇rəsist,urocyst
fōtōkətaləsəs,photocatalysis
mänaktənelə̇d,monactinellid
kōpərnikəs,copernicus
distənts,distance
məmändär,mehmandar
ȯrfēənə̇st,orpheonist
vīəl,vial
filəsinēē,filicineae
spəfəl,spuffle
dētent,detent
perəthīrȯidektəmē,parathyroidectomy
irpləg,earplug
kriptəkäkəs,cryptococcus
metəstābəl,metastable
rijȯindər,rejoinder
ärmaarēəm,armarium
bätᵊlnek,bottleneck
antēmagnetik,antimagnetic
sīkəläjikəl,psychological
difī,defy
brȯidər,broider
disembər,december
ärmlōd,armload
kēl,keel
stablish,stablish
prīvətir,privateer
bərgəl,burgle
shampü,shampoo
rerrīp,rareripe
səmilətüd,similitude
kiləs,killas
süpərintend,superintend
məzē,muzzy
ikspend,expend
thēkēryȯn,dikerion
kitēkȯrnər,kittycorner
gram,gram
dred,dread
süpərsachərāt,supersaturate
äktəgän,octagon
flērish,fleerish
rämbōganȯid,rhomboganoid
dijətäksəjenən,digitoxigenin
askərəs,ascaris
